randomise_blocks,randomise_trials,display,Image_Right,Audio,Image_Left,List
,,Instruções,,,,
,,Eye-Tracking-Calibrate,,,,
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0001-CP746_0.844-11.053.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0001-CP746_0.844-11.053.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0006-CP640_51.619-63.742.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0006-CP640_51.619-63.742.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0006-CP701_35.67-46.858.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0006-CP701_35.67-46.858.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0007-CP641_75.693-83.955.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0007-CP641_75.693-83.955.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0008-CP699_87.156-96.985.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0008-CP699_87.156-96.985.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0009-CP713_126.492-135.074.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0009-CP713_126.492-135.074.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0010-CP648_187.382-195.907.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0010-CP648_187.382-195.907.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0010-CP697_133.814-142.878.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0010-CP697_133.814-142.878.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0011-CP572_545.873-554.778.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0011-CP572_545.873-554.778.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0011-CP697_144.759-154.402.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0011-CP697_144.759-154.402.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0014-CP524_647.095-657.541.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0014-CP524_647.095-657.541.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0015-CP344_335.482-347.366.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0015-CP344_335.482-347.366.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0015-CP516_147.92-158.846.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0015-CP516_147.92-158.846.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0015-CP648_689.891-698.017.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0015-CP648_689.891-698.017.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0017-CP716_87.944-100.313.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0017-CP716_87.944-100.313.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0018-CP575_323.46-333.031.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0018-CP575_323.46-333.031.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0018-CP606_426.529-436.291.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0018-CP606_426.529-436.291.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0019-CP690_531.564-543.216.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0019-CP690_531.564-543.216.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0021-CP558_405.056-416.718.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0021-CP558_405.056-416.718.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0022-CP690_556.934-565.841.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0022-CP690_556.934-565.841.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0023-CP687_473.392-482.759.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0023-CP687_473.392-482.759.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0023-CP690_565.841-575.148.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0023-CP690_565.841-575.148.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0023-CP710_500.934-509.399.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0023-CP710_500.934-509.399.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0024-CP670_647.961-659.074.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0024-CP670_647.961-659.074.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0027-CP575_733.523-742.657.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0027-CP575_733.523-742.657.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0027-CP651_636.957-647.141.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0027-CP651_636.957-647.141.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0031-CP661_886.485-894.808.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0031-CP661_886.485-894.808.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0031-CP681_1330.26-1339.4.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0031-CP681_1330.26-1339.4.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0032-CP715_1164.78-1175.45.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0032-CP715_1164.78-1175.45.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0037-CP661_1058.11-1070.03.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0037-CP661_1058.11-1070.03.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0037-CP677_1444.62-1456.4.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0037-CP677_1444.62-1456.4.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0039-CP740_501.556-510.104.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0039-CP740_501.556-510.104.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0042-CP684_822.049-833.864.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0042-CP684_822.049-833.864.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0042-CP700_814.623-822.907.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0042-CP700_814.623-822.907.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0043-CP514_117.187-129.536.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0043-CP514_117.187-129.536.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0045-CP669_823.095-832.797.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0045-CP669_823.095-832.797.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0046-CP661_1638.73-1648.47.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0046-CP661_1638.73-1648.47.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0047-CP699_1325.63-1334.91.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0047-CP699_1325.63-1334.91.wav_synthesized.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_um_robo_H.jpeg,sr16k_mono_0049-CP546_1161.16-1173.5.wav,imagem_de_uma_pessoa_Masc.jpeg,A
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0049-CP546_1161.16-1173.5.wav_synthesized.wav,imagem_de_um_robo_H.jpeg,B
1,1,Stimuli block 1,imagem_de_uma_pessoa_Masc.jpeg,sr16k_mono_0049-CP677_1511.07-1519.48.wav,imagem_de_um_robo_H.jpeg,B
